date,pe
2021-06-21,36.83
2021-06-22,37.12
2021-06-23,36.99
2021-06-24,36.96
2021-06-25,37.1
2021-06-28,37.27
2021-06-29,36.79
2021-06-30,36.81
2021-07-01,36.86
2021-07-02,36.5
2021-07-05,36.92
2021-07-06,36.3
2021-07-07,36.54
2021-07-08,36.53
2021-07-09,36.73
2021-07-12,36.79
2021-07-13,37.1
2021-07-14,37.09
2021-07-15,37.35
2021-07-16,37.66
2021-07-19,37.57
2021-07-20,37.05
2021-07-22,37.22
2021-07-23,32.83
2021-07-26,32.72
2021-07-27,32.62
2021-07-28,32.21
2021-07-29,32.34
2021-07-30,32.21
2021-08-02,32.56
2021-08-03,31.82
2021-08-04,31.39
2021-08-05,31.14
2021-08-06,31.08
2021-08-09,30.46
2021-08-10,29.15
2021-08-11,28.99
2021-08-12,29.49
2021-08-13,29.7
2021-08-16,29.2
2021-08-17,29.14
2021-08-18,29.02
2021-08-20,28.33
2021-08-23,27.77
2021-08-24,28.35
2021-08-25,28.56
2021-08-26,28.63
2021-08-27,28.85
2021-08-30,29.25
2021-08-31,29.45
2021-09-01,29.51
2021-09-02,29.79
2021-09-03,29.96
2021-09-06,30.2
2021-09-07,30.12
2021-09-08,30.31
2021-09-09,30.55
2021-09-13,30.78
2021-09-14,30.93
2021-09-15,31.14
2021-09-16,31.13
2021-09-17,30.91
2021-09-20,30.31
2021-09-21,30.32
2021-09-22,30.71
2021-09-23,30.97
2021-09-24,30.95
2021-09-27,31.0
2021-09-28,30.85
2021-09-29,30.94
2021-09-30,28.86
2021-10-01,28.94
2021-10-04,29.36
2021-10-05,29.52
2021-10-06,29.26
2021-10-07,29.61
2021-10-08,29.85
2021-10-11,30.17
2021-10-12,30.35
2021-10-13,30.39
2021-10-14,30.55
2021-10-18,30.8
2021-10-19,30.09
2021-10-20,30.84
2021-10-21,30.49
2021-10-22,30.12
2021-10-25,29.37
2021-10-26,30.12
2021-10-27,30.33
2021-10-28,29.55
2021-10-29,29.11
2021-11-01,29.07
2021-11-02,29.19
2021-11-03,28.94
2021-11-04,29.33
2021-11-08,29.49
2021-11-09,29.66
2021-11-10,29.68
2021-11-11,28.98
2021-11-12,29.26
2021-11-15,29.28
2021-11-16,30.32
2021-11-17,30.47
2021-11-18,29.99
2021-11-22,29.39
2021-11-23,29.95
2021-11-24,30.1
2021-11-25,30.35
2021-11-26,29.48
2021-11-29,28.73
2021-11-30,29.34
2021-12-01,29.42
2021-12-02,29.74
2021-12-03,29.91
2021-12-06,29.54
2021-12-07,29.9
2021-12-08,30.35
2021-12-09,30.63
2021-12-10,30.91
2021-12-13,30.91
2021-12-14,31.01
2021-12-15,30.9
2021-12-16,30.6
2021-12-17,29.9
2021-12-20,28.86
2021-12-21,29.22
2021-12-22,29.71
2021-12-23,29.94
2021-12-24,29.75
2021-12-27,29.86
2021-12-28,30.3
2021-12-29,30.52
2021-12-30,30.56
2021-12-31,31.04
2022-01-03,31.44
2022-01-04,31.61
2022-01-05,31.62
2022-01-06,31.66
2022-01-07,31.79
2022-01-10,32.28
2022-01-11,32.31
2022-01-12,32.51
2022-01-13,32.64
2022-01-14,32.87
2022-01-17,33.01
2022-01-18,32.34
2022-01-19,32.34
2022-01-20,32.28
2022-01-21,31.89
2022-01-24,30.41
2022-01-25,30.41
2022-01-27,30.26
2022-01-28,30.61
2022-01-31,30.31
2022-02-01,29.96
2022-02-02,30.19
2022-02-03,30.11
2022-02-04,29.87
2022-02-07,29.53
2022-02-08,28.9
2022-02-09,28.9
2022-02-10,28.66
2022-02-11,28.15
2022-02-14,27.02
2022-02-15,27.13
2022-02-16,27.56
2022-02-17,27.52
2022-02-18,27.29
2022-02-21,26.59
2022-02-22,26.07
2022-02-23,26.38
2022-02-24,24.84
2022-02-25,25.89
2022-02-28,26.16
2022-03-02,26.43
2022-03-03,26.53
2022-03-04,26.11
2022-03-07,25.51
2022-03-08,25.86
2022-03-09,26.41
2022-03-10,26.78
2022-03-11,27.02
2022-03-14,27.13
2022-03-15,26.91
2022-03-16,27.2
2022-03-17,27.53
2022-03-21,27.6
2022-03-22,27.68
2022-03-23,27.64
2022-03-24,27.73
2022-03-25,27.63
2022-03-28,27.46
2022-03-29,27.63
2022-03-30,27.88
2022-03-31,24.41
2022-04-01,24.87
2022-04-04,25.25
2022-04-05,25.49
2022-04-06,25.6
2022-04-07,25.61
2022-04-08,25.81
2022-04-11,25.85
2022-04-12,25.48
2022-04-13,25.57
2022-04-18,25.35
2022-04-19,24.88
2022-04-20,24.88
2022-04-21,25.21
2022-04-22,25.11
